i	Tx	Rx	CT
0	1	1	1
1	1	1	1
2	1	1	1
3	1	0	0
4	0	1	0
5	0	0	0
6	0	1	1
7	0	0	1
8	1	0	1
9	1	1	0
10	1	1	1
11	1	1	1
12	0	0	0
13	0	1	0
14	0	1	0
15	0	0	1
16	1	1	1
17	1	1	0
18	1	0	0
19	1	0	0
20	0	0	1
21	0	1	0
22	0	1	0
23	0	0	1
24	1	0	0
25	1	0	1
26	1	0	0
27	1	1	0
28	0	1	0
29	0	0	0
30	0	0	1
31	0	1	1
32	1	1	1
33	1	1	1
34	1	0	1
35	1	1	1
36	0	0	0
37	0	1	0
38	0	1	0
39	0	1	1
40	1	0	0
41	1	1	1
42	1	0	1
43	1	1	1
44	0	1	1
45	0	1	0
46	0	1	0
47	0	0	0
48	1	0	1
49	1	0	0
50	1	1	0
51	1	1	1
52	0	1	0
53	0	0	0
54	0	1	0
55	0	1	1
56	1	0	1
57	1	1	1
58	1	1	1
59	1	1	1
60	0	1	0
61	0	0	1
62	0	0	1
63	0	0	0
64	1	0	1
65	1	0	0
66	1	1	1
67	1	1	1
68	0	0	0
69	0	1	0
70	0	1	1
71	0	0	1
72	1	0	1
73	1	0	1
74	1	0	0
75	1	1	0
76	0	1	1
77	0	1	0
78	0	1	1
79	0	1	0
80	1	1	0
81	1	1	0
82	1	0	0
83	1	0	1
84	0	0	0
85	0	1	0
86	0	0	0
87	0	1	0
88	1	1	0
89	1	0	1
90	1	1	0
91	1	1	0
92	0	1	1
93	0	0	1
94	0	1	1
95	0	0	1
96	1	1	0
97	1	1	0
98	1	1	1
99	1	0	0
100	0	1	1
101	0	0	0
102	0	1	0
103	0	0	0
104	1	1	1
105	1	0	0
106	1	1	0
107	1	0	1
108	0	1	1
109	0	0	1
110	0	1	1
111	0	0	0
112	1	0	0
113	1	1	0
114	1	0	1
115	1	0	0
116	0	0	0
117	0	0	1
118	0	0	1
119	0	1	0
120	1	0	1
121	1	0	0
122	1	1	0
123	1	0	0
124	0	0	1
125	0	1	0
126	0	0	0
127	0	0	0
128	1	1	1
129	1	1	1
130	1	1	1
131	1	1	1
132	0	0	1
133	0	0	1
134	0	0	0
135	0	0	1
136	1	1	0
137	1	1	1
138	1	1	1
139	1	1	1
140	0	0	0
141	0	0	0
142	0	0	1
143	0	0	1
144	1	1	0
145	1	1	0
146	1	1	0
147	1	1	0
148	0	0	0
149	0	0	1
150	0	0	1
151	0	0	0
152	1	1	1
153	1	1	0
154	1	1	1
155	1	1	1
156	0	0	1
157	0	0	0
158	0	0	0
159	0	0	1
160	1	1	0
161	1	1	1
162	1	1	1
163	1	1	1
164	0	0	1
165	0	0	1
166	0	0	1
167	0	0	1
168	1	1	1
169	1	1	1
170	1	1	0
171	1	1	0
172	0	0	1
173	0	0	0
174	0	0	1
175	0	0	0
176	1	1	0
177	1	1	1
178	1	1	1
179	1	1	0
180	0	0	1
181	0	0	0
182	0	0	0
183	0	0	0
184	1	1	0
185	1	1	0
186	1	1	1
187	1	1	0
188	0	0	0
189	0	0	1
190	0	0	1
191	0	0	0
192	1	1	1
193	1	1	0
194	1	1	0
195	1	1	1
196	0	0	1
197	0	0	0
198	0	0	1
199	0	0	1
200	1	1	1
201	1	1	0
202	1	1	1
203	1	1	0
204	0	0	0
205	0	0	0
206	0	0	1
207	0	0	1
208	1	1	0
209	1	1	1
210	1	1	0
211	1	1	0
212	0	0	1
213	0	0	0
214	0	0	1
215	0	0	1
216	1	1	0
217	1	1	1
218	1	1	0
219	1	1	0
220	0	0	1
221	0	0	0
222	0	0	1
223	0	0	0
224	1	1	0
225	1	1	1
226	1	1	0
227	1	1	0
228	0	0	1
229	0	0	1
230	0	0	0
231	0	0	1
232	1	1	1
233	1	1	0
234	1	1	1
235	1	1	1
236	0	0	0
237	0	0	0
238	0	0	0
239	0	0	0
240	1	1	0
241	1	1	1
242	1	1	0
243	1	1	1
244	0	0	1
245	0	0	0
246	0	0	0
247	0	0	1
248	1	1	0
249	1	1	0
250	1	1	1
251	1	1	0
252	0	0	1
253	0	0	0
254	0	0	1
255	0	0	0
256	1	1	1
257	1	1	0
258	1	1	0
259	1	1	0
260	0	0	1
261	0	0	0
262	0	0	1
263	0	0	1
264	1	1	1
265	1	1	0
266	1	1	1
267	1	1	1
268	0	0	0
269	0	0	0
270	0	0	1
271	0	0	0
272	1	1	1
273	1	1	0
274	1	1	1
275	1	1	1
276	0	0	1
277	0	0	0
278	0	0	1
279	0	0	1
280	1	1	0
281	1	1	0
282	1	1	1
283	1	1	1
284	0	0	0
285	0	0	0
286	0	0	0
287	0	0	0
288	1	1	0
289	1	1	1
290	1	1	1
291	1	1	1
292	0	0	0
293	0	0	1
294	0	0	0
295	0	0	0
296	1	1	1
297	1	1	0
298	1	1	0
299	1	1	1
